流水號,華語,漢字,台羅,出處,理由
,要衝,要衝,iau3-tshiong,台文華文線頂辭典,
,要旨,要旨,iau3-tsi2,台文華文線頂辭典,
,要職,要職,iau3-tsit,台文華文線頂辭典,
,要害,要害,iau3-hai7,台文華文線頂辭典,
,要項,要項,iau3-hang7,台文華文線頂辭典,
,要犯,要犯,iau3-huann7,台文華文線頂辭典,
,要人,要人,iau3-jinn5,台文華文線頂辭典,
,要角,要角,iau3-kak,台文華文線頂辭典,
,要件,要件,iau3-kiann7,台文華文線頂辭典,
,要緊,要緊,iau3-kinn2,台文華文線頂辭典,
,要訣,要訣,iau3-kuat,台文華文線頂辭典,
,仍然,猶閣,iau3-koh,台文華文線頂辭典,
,要領,要領,iau3-ling2,台文華文線頂辭典,
,要員,要員,iau3-uann5,台文華文線頂辭典,
,要塞,要塞,iau3-sai3,台文華文線頂辭典,
,還是,猶是,iau3-si7,台文華文線頂辭典,
,還算,猶算,iau3-sng3,台文華文線頂辭典,
,要素,要素,iau3-soo3,台文華文線頂辭典,
,要事,要事,iau3-su7,台文華文線頂辭典,
,要地,要地,iau3-te7,台文華文線頂辭典,
,要點,要點,iau3-tiam2,台文華文線頂辭典,
,要道,要道,iau3-to7,台文華文線頂辭典,
,還有救藥,猶有救,iau3-u7-kiu3,台文華文線頂辭典,
,姚,姚,Iau5,台文華文線頂辭典,
,謠言讒言,謠言,iau5-giann5,台文華文線頂辭典,
,遙遙無期,遙遙無期,iau5-iau5-bu5-ki5,台文華文線頂辭典,
,遙遙領先,遙遙領先,iau5-iau5-nnia2-siann,台文華文線頂辭典,
,遙控,遙控,iau5-khong3,台文華文線頂辭典,
,遙遠,遙遠,iau5-uann2,台文華文線頂辭典,
,謠傳,謠傳,iau5-thuann5,台文華文線頂辭典,
,瑤池,瑤池,iau5-ti5,台文華文線頂辭典,
,耀武揚威,耀武揚威,iau7-bu3-iong5-ui,台文華文線頂辭典,
,彗星,妖星,iau-tshenn,台文華文線頂辭典,
,邀請,邀請,iau-tshing2,台文華文線頂辭典,
,邀請,邀請,iau-tshiann2,台文華文線頂辭典,
,邀請函,邀請函,iau-tshiann2-ham5,台文華文線頂辭典,
,邀請賽,邀請賽,iau-tshiann2-sai3,台文華文線頂辭典,
,妖精狐狸精蕩婦,妖精,iau-tsiann,台文華文線頂辭典,
,邀集,邀集,iau-tsip8,台文華文線頂辭典,
,飢餓,枵餓,iau-go7,台文華文線頂辭典,
,要脅,要脅,iau-hiap8,台文華文線頂辭典,
,飢饉,枵荒,iau-hng,台文華文線頂辭典,
,飢荒,枵荒,iau-hng,台文華文線頂辭典,
,妖法,妖法,iau-huat,台文華文線頂辭典,
,飢腸轆轆,枵揜揜,iau-hop8-hop8,台文華文線頂辭典,
,妖艷,妖艷,iau-iam7,台文華文線頂辭典,
,邀宴,邀宴,iau-iann3,台文華文線頂辭典,
,邀約,邀約,iau-iok,台文華文線頂辭典,
,餓鬼,枵監囚,iau-kann-siu5,台文華文線頂辭典,
,妖嬌,妖嬌,iau-kiau,台文華文線頂辭典,
,窈窕,妖嬌,iau-kiau,台文華文線頂辭典,
,嫵媚,妖嬌,iau-kiau,台文華文線頂辭典,
,嬌艷,妖嬌,iau-kiau,台文華文線頂辭典,
,要求,要求,iau-kiu5,台文華文線頂辭典,
,妖怪,妖怪,iau-kuai3,台文華文線頂辭典,
,妖術,妖術,iau-sut8,台文華文線頂辭典,
,妖道,妖道,iau-to7,台文華文線頂辭典,
,醫務室,醫務室,i-bu7-sik,台文華文線頂辭典,
,衣物,衣物,i-but8,台文華文線頂辭典,
