ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
3,,;凱子;,阿炮,a2-phau3,,868,,,
4,,;小鎮;,啞鈴,a3-leng5,,915,Nc,,
12,a-bu2,;母親;媽媽;,阿母,a-bo2,mother,1884,Na,,
14,am-cham,;骯髒;,腌臢,a-cha,dirty,975,VH,,
15,,;叔父;叔叔;,阿叔,a-chek,uncle,1101,Na,,
16,,;叔母;嬸嬸;,阿嬸,a-chim2,aunt,1002,Na,,
17,a3-chiu,;亞洲;,亞洲,a-chiu,Asia,827,Nc,,
18,,;曾祖父母;,阿祖,a-chou2,grandfather,1269,,,
19,,;油豆腐;,阿給,a-geh,,1663,,,
21,,;押;強制;,押,ah,,976,VF;VC,,
22,,;鴨;鴨子;,鴨,ah,duck,1138,Na,,
23,,;壓;,壓,ah,,1075,VC,,
24,ah be2-au7,;壓隊;殿後;,押尾後,ah boe2-au7,,2269,VA;VH,,
26,ap8,;盒;,盒,ah8,box,472,Nf,,
28,ap8-a2,;盒子;,盒仔,ah8-a2,,1230,Na;Nf,,
29,,;界尺;,壓尺,ah8-chhioh,,500,Na,,
30,,;盒裝;,盒裝,ah8-chng,,663,A,,
31,,;壓抑;,壓抑,ah8-ek,,756,VC,,
32,,;壓低;,壓低,ah8-ke7,,818,VR,,
33,,;壓境;,壓境,ah8-keng2,,726,VA,,
34,,;界尺;壓;,壓板,ah8-pan2,,654,Na;VC,,
37,,;小鴨;鴨黃;,鴨仔囝,ah-a2-kiaN2,,2202,,,
39,,;殿後;,押後,ah-au7,,1340,VH,,
40,,;鴨肉;,鴨肉,ah-bah,,1187,,,
41,,;鴨子;,鴨咪,ah-bi5,,1076,Na,,\\
42,,;小鴨子;,鴨咪仔,ah-bi5-a2,,1930,,,
43,,;蹩腳;,鴨味,ah-bi7,,1160,VH,,
44,,;壓味;,壓味,ah-bi7,,1109,,,
45,ah-bu2,;母鴨;,鴨母,ah-bo2,,1447,Na,,
46,ah-bu2-chhau2,;水丁黃;,鴨母草,ah-bo2-chhau2,,1866,,,
47,ah-bu2-chhiu7,;江某;鵝掌樹;,鴨母樹,ah-bo2-chhiu7,,1782,,,
48,ah-bu2-chu,;薏苡;,鴨母珠,ah-bo2-chu,,2349,,,
49,ek-bu2-hiaN7,;益母草;,益母艾,ah-bo2-hiaN7,,1549,,,
50,ah-bu2-it,;乙;,鴨母乙,ah-bo2-it,,1559,Ne,,
