ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
1,,;不然;還是沒有;,a2無,a2-bo5,,5447,,,
2,,;蟬;,a2蛦,a2-i5,,811,Na,,
5,,;怎好;,a7好,a7-ho2,,2138,,,
6,,;壓克力;,a7-khu2-lih,a7-khu2-lih,,618,Na,,
7,,;何必;何須;怎麼需要;,a7使,a7-sai2,,2719,Db,,
8,,;哪裡是;,a7-soah是,a7-soah-si7,,3838,,,
9,,;哪有;,a7-soah有,a7-soah-u7,,4051,,,
10,,;何必;,a7著,a7-tioh8,,1413,Db,,
11,,;哪有;,a7有,a7-u7,,3759,,,
13,,;酪梨;,a-bu-kha-lo,a-bu-kha-lo,,1052,,,
20,,;了;啊;,ah,ah,,1652,I;Di;Ta;Tc;VJ,,
25,,;怎麼;哪裡;,ah8,ah8,,1701,Nc;Dj;VH,,
35,,;怎麼這樣;,ah8有che,ah8-u7-che,,5250,,,
36,,;怎麼這樣;,ah8有一個,ah8-u7-chit8-e5,,9167,,,
38,,;小鴨;,鴨仔tan,ah-a2-tan,,1871,,,
55,ah-be7-si7,;且慢;,ah未是,ah-boe7-si7,,3502,VH,,
58,,;鴨舌hong5;,鴨嘴hong5,ah-chhui3-hong5,,1696,,,
61,,;水丁黃;鴨舌hong5;,鴨舌hong5,ah-chih8-hong5,,1874,,,
71,,;彈簧;,鴨公khiu5,ah-kang-khiu5,,1214,Na,,
85,,;鴨的素囊;,鴨kui,ah-kui,,2362,,,
91,,;亞成鴨;,鴨lut仔,ah-lut-a2,,1583,,,
103,,;抑或;抑是;或者;或則;,ah是,ah-si7,,3969,V_;Ca,,
116,,;愛現;,愛pho3-tau7,ai3 pho3-tau7,,1507,,,
162,,;愛美;,愛sui2,ai3-sui2,,1831,VH,,
166,,;愛玩;,愛thit,ai3-thit,,1883,VH,,
171,,;哀號;,哀哀hau2,ai-ai-hau2,,445,VA,,
187,,;背;背負;,aiN7,aiN7,,442,Na;VC;VH,,
188,aiN7-kun,;背巾;,aiN7巾,aiN7-kin,,744,,,
193,,;死甜;,ai甜,ai-tiN,,602,,,
198,,;桄子;線軸;,ak8仔,ak8-a2,,991,Na,,
220,,;淋濕;澆濕;,沃tam5,ak-tam5,,435,VB,,
231,,;米湯;稀飯;,am2,am2,,419,Na,,
233,,;稀溜溜;,am2-am2,am2-am2,,241,,,
234,,;米湯;,am2漿,am2-chiuN,,298,Na,,
235,am2-lu7,;濾器;,am2濾,am2-li7,,468,Na,,
236,am2-be5,;稀飯;米湯;,am2糜,am2-moai5,,726,Na,,
237,am2-be5-a2,;米湯;,am2糜仔,am2-moai5-a2,,1372,Na,,
238,am2-be5-hoe,;米湯;,am2糜花,am2-moai5-hoe,,1180,Na,,
239,,;米湯泡;,am2-pheh8,am2-pheh8,,335,,,
240,,;扁平鼻;塌鼻子;,am2鼻哥,am2-phiN7-ko,,943,,,
241,,;濾器;,am2滯,am2-te3,,439,Na,,
242,,;米湯;,am2湯,am2-thng,,355,Na,,
243,,;溏便;,am2湯屎,am2-thng-sai2,,537,,,
244,,;稀溜溜;,am2-thong-thong,am2-thong-thong,,322,,,
266,,;烏七摸黑;黑漆漆;,暗chiuh-chiuh,am3-chiuh-chiuh,,869,VH,,
286,,;掩飾;掩藏;矇混;中飽;暗槓;,暗kham3,am3-kham3,,1135,VA;VC;VJ,,
289,,;暗藏;暗放;,暗khng3,am3-khng3,,1079,,,
309,,;漆黑的;,暗mi-mou,am3-mi-mou,,1866,,,
310,,;黑洞洞;,暗mou-mou,am3-mou-mou,,615,VH,,
323,,;陰森;傍晚;諱疾;陰暗;,暗sam3,am3-sam3,,865,Nd;VH,,
