華語,台語漢字,臺羅
松葉蕨,松葉蘭,Si?ng-hio?h-l?n
松葉蕨,鐵掃帚,Thih-s?u-tsh?u
木賊葉石松,石子藤,Tsio?h-j?-t?n
木賊葉石松,伸筋草,Tshun-kin-tsh?u
木賊葉石松,無病草,B?-p?nn-tsh?u
過山龍,過山龍,Ku?-suann-l?ng
過山龍,小伸筋,Si?-tshun-kin
過山龍,毛毛,M?o-m?o
過山龍,石壁草,Tsio?h-piah-tsh?u
過山龍,羊角草,?unn-kak-tsh?u
過山龍,鹿茸草,Lo?k-ji?ng-tsh?u
過山龍,筋骨草,Kin-kut-tsh?u
過山龍,新娘草,Sin-n?u-tsh?u
過山龍,貓公刺,Niau-kang-tsh?
過山龍,貓骨,Niau-kut
過山龍,龍燈草,Li?ng-ting-tsh?u
過山龍,鐵骨毛,Thih-kut-m?o
過山龍,覆地蜈蚣,Phak-t?-gi?-kang
石松,小筋草,Si?-kin-tsh?u
石松,石松仔,Tsio?h-si?ng-?
石松,伸筋草,Tshun-kin-tsh?u
石松,獅仔尾,Sai-?-bu?
地刷子,長蔓石松,Tn?g-b?n-tsio?h-si?ng
玉柏,玉柏石松,Gio?k-peh-tsio?h-si?ng
垂枝石松,馬尾杉,B?-bu?-sam
小垂枝石松,小馬尾杉,Si?-b?-bu?-sam
小杉葉石松,小杉蘭,Si?-sam-l?n
長柄千層塔,七寸金,Tshit-tsh?n-kim
長柄千層塔,金不換,Kim-put-hu?n
長柄千層塔,龍鱗草,L?ng-l?n-tsh?u
杉葉石松,鹿角草,Lo?k-kak-tsh?u
生根卷柏,石刀柏,Tsio?h-to-peh
密葉卷柏,金不換,Kim-put-hu?n
密葉卷柏,金扁柏,Kim-p?nn-peh
密葉卷柏,還魂草,Hu?n-h?n-tsh?u
密葉卷柏,萬年松,B?n-n?-si?ng
密葉卷柏,龍鱗草,L?ng-l?n-tsh?u
異葉卷柏,石柏,Tsio?h-peh
異葉卷柏,岩柏草,G?m-peh-tsh?u
疏葉卷柏,小地柏,Si?-t?-peh
萬年松,萬年松,B?n-n?-si?ng
萬年松,九死還魂草,K?u-s?-hu?n-h?n-tsh?u
萬年松,石花,Tsio?h-hue
萬年松,地石草,T?-tsio?h-tsh?u
萬年松,佛手草,Hu?t-tsh?u-tsh?u
萬年松,含生草,H?m-sing-tsh?u
萬年松,岩苔,G?m-th?
萬年松,岩松,G?m-si?ng
萬年松,岩松葉,G?m-si?ng-hio?h
萬年松,捲柏,K?g-peh
萬年松,花鏡,Hue-ki?nn
台灣水韭,水韭菜,Tsu?-k?-tsh?i
木賊,木賊,Ba?k-tsa?t
木賊,節骨草,Tsat-kut-tsh?u
木賊,接骨胴,Tsiap-kut-t?ng
木賊,接骨草,Tsiap-kut-tsh?u
木賊,木賊草,Ba?k-tsa?t-tsh?u
台灣木賊,木賊草,Ba?k-tsa?t-tsh?u
台灣木賊,接骨草,Tsiap-kut-tsh?u
台灣木賊,接骨胴,Tsiap-kut-t?ng
台灣木賊,節枯草,Tsat-koo-tsh?u
台灣木賊,節草,Tsat-tsh?u
台灣木賊,節節草,Tsat-tsat-tsh?u
槐葉蘋,蜈蚣蘋,Gi?-kang-ph?ng
滿江紅,大殼薸,Tu?-khak-phi?
滿江紅,三角薸,Sann-kak-phi?
滿江紅,秋薸,Tshiu-phi?
滿江紅,臭薸,Tsh?u-phi?
滿江紅,薸,Phi?
滿江紅,紫薸,Ts?-phi?
滿江紅,紅浮薸,?ng-ph?-phi?
南國田字草,水鹽酸,Tsu?-i?m-sng
南國田字草,四葉菜,S?-hio?h-tsh?i
南國田字草,芣菜,H?-tsh?i
南國田字草,萍,Ph?ng
薄葉大陰地蕨,大花蕨,Tu?-hue-kueh
大雨陰地蕨,丹桂移星草,Tan-ku?-?-sing-tsh?u
大雨陰地蕨,蛇不見,Tsu?-put-ki?n
大雨陰地蕨,獨角金雞,To?k-kak-kim-ke
